0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008     sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60   sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc     pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000     a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x0b4   a0=0x80000040+0x000000b4=0x800000f4
0x80000048:auipc  a1,0x00000     a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0ac   a1=0x80000048+0x000000ac=0x800000f4
0x80000050:sw     zero,0x000(a0)  mem[0x800000f4]=0x00000000
0x80000054:addi   a0,a0,0x004   a0=0x800000f4+0x00000004=0x800000f8
0x80000058:blt    a0,a1,0xffc  (0x800000f8<0x800000f4)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000   pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006     pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   t0,zero,0x005   t0=0x00000000+0x00000005=0x00000005
0x800000bc:addi   t1,zero,0xffe   t1=0x00000000+0xfffffffe=0xfffffffe
0x800000c0:addi   t2,zero,0x003   t2=0x00000000+0x00000003=0x00000003
0x800000c4:add    t3,t0,t2     t3=0x00000005+0x00000003=0x00000008
0x800000c8:add    t4,t0,t1     t4=0x00000005-0xfffffffe=0x00000007
0x800000cc:and    t5,t0,t1     t5=0x00000005&0xfffffffe=0x00000004
0x800000d0:or     t6,t0,t1     t6=0x00000005|0xfffffffe=0xffffffff
0x800000d4:xor    s0,t0,t1     s0=0x00000005^0xfffffffe=0xfffffffb
0x800000d8:sll    s1,t0,t2     s1=0x00000005<<00003=0x00000028
0x800000dc:srl    s2,t1,t2     s2=0xfffffffe>>00003=0x1fffffff
0x800000e0:sra    s3,t1,t2     s3=0xfffffffe>>>00003=0xffffffff
0x800000e4:slt    s4,t1,t0     s4=(0xfffffffe<0x00000005)=1
0x800000e8:sltu   s5,t1,t0     s5=(0xfffffffe<0x00000005)=0
0x800000ec:addi   a0,zero,0x001   a0=0x00000000+0x00000001=0x00000001
0x800000f0:jalr   zero,ra,0x000   pc=0x800000b0+0x00000000,zero=0x800000f4
0x800000b0:jal    zero,0xfffd8     pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)  mem[0x80007ff4]=0x00000001
0x80000068:addi   a0,zero,0x020   a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020     a1=0x00020000
0x80000070:addi   a1,a1,0x026   a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)  mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp     a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a     pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31      zero=0x00000000<<31=0x00000000
0x80000094:ebreak
