0x80000000:addi   sp,sp,0xfffffff0     sp=0x00000000+0xfffffff0=0xfffffff0
0x80000004:sw     ra,0xc(sp)           mem[0xfffffff0+0xc]=0x00000000
0x80000008:addi   a0,zero,0x5          a0=0x00000000+0x00000005=0x00000005
0x8000000c:addi   a1,zero,0x5          a1=0x00000000+0x00000005=0x00000005
0x80000010:addi   a2,zero,0x3          a2=0x00000000+0x00000003=0x00000003
0x80000014:addi   a3,zero,0x8          a3=0x00000000+0x00000008=0x00000008
0x80000018:addi   t0,zero,0x0          t0=0x00000000+0x00000000=0x00000000
0x8000001c:beq    a0,a1,0x8            (0x00000005==0x00000005)=1->pc=0x80000028
0x80000028:addi   t0,t0,0xa            t0=0x00000000+0x0000000a=0x0000000a
0x8000002c:bne    a0,a1,0x8            (0x00000005!=0x00000005)=0->pc=0x80000030
0x80000030:addi   t0,t0,0x2            t0=0x0000000a+0x00000002=0x0000000c
0x80000034:addi   t0,t0,0x14           t0=0x0000000c+0x00000014=0x00000020
0x80000038:blt    a2,a0,0x8            (0x00000003<0x00000005)=1->pc=0x80000044
0x80000044:addi   t0,t0,0x1e           t0=0x00000020+0x0000001e=0x0000003e
0x80000048:bge    a2,a0,0x8            (0x00000003>=0x00000005)=0->pc=0x8000004c
0x8000004c:addi   t0,t0,0x4            t0=0x0000003e+0x00000004=0x00000042
0x80000050:addi   t0,t0,0x28           t0=0x00000042+0x00000028=0x0000006a
0x80000054:bltu   a2,a3,0x8            (0x00000003<0x00000008)=1->pc=0x80000060
0x80000060:addi   t0,t0,0x32           t0=0x0000006a+0x00000032=0x0000009c
0x80000064:bgeu   a3,a0,0x8            (0x00000008>=0x00000005)=1->pc=0x80000070
0x80000070:addi   t0,t0,0x3c           t0=0x0000009c+0x0000003c=0x000000d8
0x80000074:lw     ra,0xc(sp)           ra=mem[0xfffffff0+0xc]=0x00000000
0x80000078:addi   sp,sp,0x10           sp=0xfffffff0+0x00000010=0x00000000
0x8000007c:ret                         pc=ra=0x00000000
