0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008     sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60   sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc     pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000     a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x0f0   a0=0x80000040+0x000000f0=0x80000130
0x80000048:auipc  a1,0x00000     a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0e8   a1=0x80000048+0x000000e8=0x80000130
0x80000050:sw     zero,0x000(a0)  mem[0x80000130]=0x00000000
0x80000054:addi   a0,a0,0x004   a0=0x80000130+0x00000004=0x80000134
0x80000058:blt    a0,a1,0xffc  (0x80000134<0x80000130)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000   pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006     pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x800000bc:sw     ra,0x00c(sp)  mem[0x80007ffc]=0x800000b0
0x800000c0:addi   a0,zero,0x005   a0=0x00000000+0x00000005=0x00000005
0x800000c4:addi   a1,zero,0x003   a1=0x00000000+0x00000003=0x00000003
0x800000c8:add    a2,a0,a1     a2=0x00000005+0x00000003=0x00000008
0x800000cc:add    a3,a0,a1     a3=0x00000005-0x00000003=0x00000002
0x800000d0:and    a4,a0,a1     a4=0x00000005&0x00000003=0x00000001
0x800000d4:or     a5,a0,a1     a5=0x00000005|0x00000003=0x00000007
0x800000d8:xor    a6,a0,a1     a6=0x00000005^0x00000003=0x00000006
0x800000dc:slli   a7,a0,1      a7=0x00000005<<1=0x0000000a
0x800000e0:srli   t0,a7,1      t0=0x0000000a>>1=0x00000005
0x800000e4:slt    t1,a1,a0     t1=(0x00000003<0x00000005)=1
0x800000e8:sltu   t2,a0,a1     t2=(0x00000005<0x00000003)=0
0x800000ec:mul    t3,a0,a1     t3=0x00000005*0x00000003=0x0000000f
0x800000f0:div    t4,a0,a1     t4=0x00000005/0x00000003=0x00000001
0x800000f4:rem    t5,a0,a1     t5=0x00000005%0x00000003=0x00000002
0x800000f8:beq    a2,a2,0x004  (0x00000008==0x00000008)=1->pc=0x80000100
0x80000100:addi   a0,a0,0x001   a0=0x00000005+0x00000001=0x00000006
0x80000104:auipc  t6,0x00000     t6=0x80000104+0x00000000=0x80000104
0x80000108:addi   t6,t6,0x028   t6=0x80000104+0x00000028=0x8000012c
0x8000010c:sw     a2,0x000(t6)  mem[0x8000012c]=0x00000008
0x80000110:lw     t1,0x000(t6)  t1=mem[0x8000012c]=0x00000008
0x80000114:jal    ra,0x00004     pc=0x8000011c,ra=0x80000118
0x8000011c:addi   a0,a0,0x003   a0=0x00000006+0x00000003=0x00000009
0x80000120:lw     ra,0x00c(sp)  ra=mem[0x80007ffc]=0x800000b0
0x80000124:addi   sp,sp,0x010   sp=0x80007ff0+0x00000010=0x80008000
0x80000128:jalr   zero,ra,0x000   pc=0x800000b0+0x00000000,zero=0x8000012c
0x800000b0:jal    zero,0xfffd8     pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)  mem[0x80007ff4]=0x00000009
0x80000068:addi   a0,zero,0x020   a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020     a1=0x00020000
0x80000070:addi   a1,a1,0x026   a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)  mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp     a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a     pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31      zero=0x00000000<<31=0x00000000
0x80000094:ebreak
