0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008     sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60   sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc     pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000     a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x0e8   a0=0x80000040+0x000000e8=0x80000128
0x80000048:auipc  a1,0x00000     a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0e0   a1=0x80000048+0x000000e0=0x80000128
0x80000050:sw     zero,0x000(a0)  mem[0x80000128]=0x00000000
0x80000054:addi   a0,a0,0x004   a0=0x80000128+0x00000004=0x8000012c
0x80000058:blt    a0,a1,0xffc  (0x8000012c<0x80000128)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000   pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006     pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x800000bc:sw     ra,0x00c(sp)  mem[0x80007ffc]=0x800000b0
0x800000c0:addi   a0,zero,0x005   a0=0x00000000+0x00000005=0x00000005
0x800000c4:addi   a1,zero,0x005   a1=0x00000000+0x00000005=0x00000005
0x800000c8:addi   a2,zero,0x003   a2=0x00000000+0x00000003=0x00000003
0x800000cc:addi   a3,zero,0x008   a3=0x00000000+0x00000008=0x00000008
0x800000d0:addi   t0,zero,0x000   t0=0x00000000+0x00000000=0x00000000
0x800000d4:beq    a0,a1,0x004  (0x00000005==0x00000005)=1->pc=0x800000dc
0x800000dc:addi   t0,t0,0x00a   t0=0x00000000+0x0000000a=0x0000000a
0x800000e0:bne    a0,a1,0x004  (0x00000005!=0x00000005)=0->pc=0x800000e4
0x800000e4:addi   t0,t0,0x002   t0=0x0000000a+0x00000002=0x0000000c
0x800000e8:addi   t0,t0,0x014   t0=0x0000000c+0x00000014=0x00000020
0x800000ec:blt    a2,a0,0x004  (0x00000003<0x00000005)=1->pc=0x800000f4
0x800000f4:addi   t0,t0,0x01e   t0=0x00000020+0x0000001e=0x0000003e
0x800000f8:bge    a2,a0,0x004  (0x00000003>=0x00000005)=0->pc=0x800000fc
0x800000fc:addi   t0,t0,0x004   t0=0x0000003e+0x00000004=0x00000042
0x80000100:addi   t0,t0,0x028   t0=0x00000042+0x00000028=0x0000006a
0x80000104:bltu   a2,a3,0x004  (0x00000003<0x00000008)=1->pc=0x8000010c
0x8000010c:addi   t0,t0,0x032   t0=0x0000006a+0x00000032=0x0000009c
0x80000110:bgeu   a3,a0,0x004  (0x00000008>=0x00000005)=1->pc=0x80000118
0x80000118:addi   t0,t0,0x03c   t0=0x0000009c+0x0000003c=0x000000d8
0x8000011c:lw     ra,0x00c(sp)  ra=mem[0x80007ffc]=0x800000b0
0x80000120:addi   sp,sp,0x010   sp=0x80007ff0+0x00000010=0x80008000
0x80000124:jalr   zero,ra,0x000   pc=0x800000b0+0x00000000,zero=0x80000128
0x800000b0:jal    zero,0xfffd8     pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)  mem[0x80007ff4]=0x00000005
0x80000068:addi   a0,zero,0x020   a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020     a1=0x00020000
0x80000070:addi   a1,a1,0x026   a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)  mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp     a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a     pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31      zero=0x00000000<<31=0x00000000
0x80000094:ebreak
