0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008     sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60   sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc     pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000     a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x0cc   a0=0x80000040+0x000000cc=0x8000010c
0x80000048:auipc  a1,0x00000     a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0c4   a1=0x80000048+0x000000c4=0x8000010c
0x80000050:sw     zero,0x000(a0)  mem[0x8000010c]=0x00000000
0x80000054:addi   a0,a0,0x004   a0=0x8000010c+0x00000004=0x80000110
0x80000058:blt    a0,a1,0xffc  (0x80000110<0x8000010c)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000   pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006     pc=0x800000b8,ra=0x800000b0
0x800000b8:auipc  t0,0x00000     t0=0x800000b8+0x00000000=0x800000b8
0x800000bc:addi   t0,t0,0x048   t0=0x800000b8+0x00000048=0x80000100
0x800000c0:lw     t1,0x000(t0)  t1=mem[0x80000100]=0x00120034
0x800000c4:lw     t2,0x004(t0)  t2=mem[0x80000104]=0xffed2979
0x800000c8:lb     t3,0x008(t0)  t3=mem[0x80000108]=0x0000007f
0x800000cc:lbu    t4,0x008(t0)  t4=mem[0x80000108]=0x0000007f
0x800000d0:lh     t5,0x00a(t0)  t5=mem[0x8000010a]=0x00000012
0x800000d4:lhu    t6,0x00a(t0)  t6=mem[0x8000010a]=0x00000012
0x800000d8:addi   t6,zero,0x0aa   t6=0x00000000+0x000000aa=0x000000aa
0x800000dc:sb     t6,0x00c(t0)  mem[0x8000010c]=0xaa
0x800000e0:lui    s0,0x0000c     s0=0x0000c000
0x800000e4:addi   s0,s0,0xbbb   s0=0x0000c000+0xfffffbbb=0x0000bbbb
0x800000e8:sh     s0,0x00d(t0)  mem[0x8000010d]=0xbbbb
0x800000ec:lui    s1,0xdeadc     s1=0xdeadc000
0x800000f0:addi   s1,s1,0xeef   s1=0xdeadc000+0xfffffeef=0xdeadbeef
0x800000f4:sw     s1,0x010(t0)  mem[0x80000110]=0xdeadbeef
0x800000f8:addi   a0,zero,0x001   a0=0x00000000+0x00000001=0x00000001
0x800000fc:jalr   zero,ra,0x000   pc=0x800000b0+0x00000000,zero=0x80000100
0x800000b0:jal    zero,0xfffd8     pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0   sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)  mem[0x80007ff4]=0x00000001
0x80000068:addi   a0,zero,0x020   a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020     a1=0x00020000
0x80000070:addi   a1,a1,0x026   a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)  mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp     a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a     pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31      zero=0x00000000<<31=0x00000000
0x80000094:ebreak
