0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00001          a0=0x80000040+0x00001000=0x80001040
0x80000044:addi   a0,a0,0x1c4         a0=0x80001040+0x000001c4=0x80001204
0x80000048:auipc  a1,0x00001          a1=0x80000048+0x00001000=0x80001048
0x8000004c:addi   a1,a1,0x1bc         a1=0x80001048+0x000001bc=0x80001204
0x80000050:sw     zero,0x000(a0)      mem[0x80001204]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x80001204+0x00000004=0x80001208
0x80000058:blt    a0,a1,0xffc         (0x80001208<0x80001204)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006          pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   sp,sp,0xfe0         sp=0x80008000+0xffffffe0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x800000b0
0x800000c0:sw     s0,0x004(sp)        mem[0x80007fe4]=0x00000000
0x800000c4:sw     s1,0x008(sp)        mem[0x80007fe8]=0x00000000
0x800000c8:sw     s2,0x00c(sp)        mem[0x80007fec]=0x00000000
0x800000cc:sw     s3,0x010(sp)        mem[0x80007ff0]=0x00000000
0x800000d0:lui    s0,0x10000          s0=0x10000000
0x800000d4:jal    ra,0x00044          pc=0x8000015c,ra=0x800000d8
0x8000015c:addi   t0,zero,0x000       t0=0x00000000+0x00000000=0x00000000
0x80000160:addi   t4,zero,0x001       t4=0x00000000+0x00000001=0x00000001
0x80000164:addi   t5,zero,0x000       t5=0x00000000+0x00000000=0x00000000
0x80000168:lb     t1,0x005(s0)        t1=mem[0x10000005]=0x00000061
0x8000016c:andi   t1,t1,0x001         t1=0x00000061&0x00000001=0x00000001
0x80000170:bne    t1,zero,0x006       (0x00000001!=0x00000000)=1->pc=0x8000017c
0x8000017c:lb     t2,0x000(s0)        t2=mem[0x10000000]=0x00000031
0x80000180:addi   t3,zero,0x020       t3=0x00000000+0x00000020=0x00000020
0x80000184:beq    t2,t3,0x018         (0x00000031==0x00000020)=0->pc=0x80000188
0x80000188:addi   t3,zero,0x02d       t3=0x00000000+0x0000002d=0x0000002d
0x8000018c:beq    t2,t3,0x010         (0x00000031==0x0000002d)=0->pc=0x80000190
0x80000190:addi   t3,zero,0x00a       t3=0x00000000+0x0000000a=0x0000000a
0x80000194:beq    t2,t3,0x010         (0x00000031==0x0000000a)=0->pc=0x80000198
0x80000198:addi   t2,t2,0xfd0         t2=0x00000031+0xffffffd0=0x00000001
0x8000019c:mul    t0,t0,t3            t0=0x00000000*0x0000000a=0x00000000
0x800001a0:add    t0,t0,t2            t0=0x00000000+0x00000001=0x00000001
0x800001a4:addi   t5,zero,0x001       t5=0x00000000+0x00000001=0x00000001
0x800001a8:jal    zero,0xfffe0        pc=0x80000168,zero=0x800001ac
0x80000168:lb     t1,0x005(s0)        t1=mem[0x10000005]=0x00000061
0x8000016c:andi   t1,t1,0x001         t1=0x00000061&0x00000001=0x00000001
