0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x110         a0=0x80000040+0x00000110=0x80000150
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x108         a1=0x80000048+0x00000108=0x80000150
0x80000050:sw     zero,0x000(a0)      mem[0x80000150]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x80000150+0x00000004=0x80000154
0x80000058:blt    a0,a1,0xffc         (0x80000154<0x80000150)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00038          pc=0x8000011c,ra=0x800000b0
0x8000011c:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000120:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x80000124:jal    ra,0xffff4          pc=0x8000010c,ra=0x80000128
0x8000010c:auipc  t0,0x00000          t0=0x8000010c+0x00000000=0x8000010c
0x80000110:addi   t0,t0,0xef8         t0=0x8000010c+0xfffffef8=0x80000004
0x80000114:csrrw  zero,mtvec,t0       zero=mtvec=0x00000000,mtvec=t0=0x80000004
0x80000118:jalr   zero,ra,0x000       pc=0x80000128+0x00000000,zero=0x8000011c
0x80000128:jalr   zero,zero,0x000     pc=0x00000000+0x00000000,zero=0x8000012c
>exception:instruction_fault          cause=0x00000001,epc=0x00000000,tval=0x00000000
0x80000004:jal    zero,0x0005a        pc=0x800000b8,zero=0x80000008
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x80000128
0x800000c0:sw     a0,0x004(sp)        mem[0x80007fe4]=0x80000154
0x800000c4:sw     t0,0x008(sp)        mem[0x80007fe8]=0x80000004
0x800000c8:sw     t1,0x00c(sp)        mem[0x80007fec]=0x00000000
0x800000cc:csrrs  a0,mcause,zero      a0=mcause=0x00000001,mcause|=zero=0x00000001|0x00000000=0x00000001
0x800000d0:csrrs  t0,mepc,zero        t0=mepc=0x00000000,mepc|=zero=0x00000000|0x00000000=0x00000000
0x800000d4:csrrs  t1,mstatus,zero     t1=mstatus=0x00001800,mstatus|=zero=0x00001800|0x00000000=0x00001800
0x800000d8:addi   t1,zero,0x001       t1=0x00000000+0x00000001=0x00000001
0x800000dc:bne    a0,t1,0x008         (0x00000001!=0x00000001)=0->pc=0x800000e0
0x800000e0:auipc  t1,0x00000          t1=0x800000e0+0x00000000=0x800000e0
0x800000e4:addi   t1,t1,0x048         t1=0x800000e0+0x00000048=0x80000128
0x800000e8:add    t0,t0,t1            t0=0x00000000+0x80000128=0x80000128
0x800000ec:addi   t0,t0,0x004         t0=0x80000128+0x00000004=0x8000012c
0x800000f0:csrrw  zero,mepc,t0        zero=mepc=0x00000000,mepc=t0=0x8000012c
0x800000f4:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000128
