0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x164         a0=0x80000040+0x00000164=0x800001a4
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x15c         a1=0x80000048+0x0000015c=0x800001a4
0x80000050:sw     zero,0x000(a0)      mem[0x800001a4]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x800001a4+0x00000004=0x800001a8
0x80000058:blt    a0,a1,0xffc         (0x800001a8<0x800001a4)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00022          pc=0x800000f0,ra=0x800000b0
0x800000f0:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x800000f4:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x800000f8:lui    a0,0x10000          a0=0x10000000
0x800000fc:auipc  a1,0x00000          a1=0x800000fc+0x00000000=0x800000fc
0x80000100:addi   a1,a1,0x044         a1=0x800000fc+0x00000044=0x80000140
0x80000104:jal    ra,0xfffe6          pc=0x800000d0,ra=0x80000108
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000050
0x800000d4:sb     t0,0x000(a1)        mem[0x80000140]=0x50
0x800000d8:addi   a1,a1,0x001         a1=0x80000140+0x00000001=0x80000141
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x0000006f
0x800000d4:sb     t0,0x000(a1)        mem[0x80000141]=0x6f
0x800000d8:addi   a1,a1,0x001         a1=0x80000141+0x00000001=0x80000142
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000078
0x800000d4:sb     t0,0x000(a1)        mem[0x80000142]=0x78
0x800000d8:addi   a1,a1,0x001         a1=0x80000142+0x00000001=0x80000143
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
0x800000e0:andi   t0,t0,0x001         t0=0x00000061&0x00000001=0x00000001
0x800000e4:bne    t0,zero,0xff6       (0x00000001!=0x00000000)=1->pc=0x800000d0
0x800000d0:lb     t0,0x000(a0)        t0=mem[0x10000000]=0x00000069
0x800000d4:sb     t0,0x000(a1)        mem[0x80000143]=0x69
0x800000d8:addi   a1,a1,0x001         a1=0x80000143+0x00000001=0x80000144
0x800000dc:lb     t0,0x005(a0)        t0=mem[0x10000005]=0x00000061
