0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x104         a0=0x80000040+0x00000104=0x80000144
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0fc         a1=0x80000048+0x000000fc=0x80000144
0x80000050:sw     zero,0x000(a0)      mem[0x80000144]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x80000144+0x00000004=0x80000148
0x80000058:blt    a0,a1,0xffc         (0x80000148<0x80000144)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00038          pc=0x8000011c,ra=0x800000b0
0x8000011c:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000120:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x80000124:jal    ra,0xfffe6          pc=0x800000f0,ra=0x80000128
0x800000f0:auipc  t0,0x00000          t0=0x800000f0+0x00000000=0x800000f0
0x800000f4:addi   t0,t0,0xf14         t0=0x800000f0+0xffffff14=0x80000004
0x800000f8:addi   t0,t0,0x001         t0=0x80000004+0x00000001=0x80000005
0x800000fc:csrrw  zero,mtvec,t0       zero=mtvec=0x00000000,mtvec=t0=0x80000005
0x80000100:csrrs  t0,mie,zero         t0=mie=0x00000000,mie|=zero=0x00000000|0x00000000=0x00000000
0x80000104:ori    t0,t0,0x008         t0=0x00000000|0x00000008=0x00000008
0x80000108:csrrw  zero,mie,t0         zero=mie=0x00000000,mie=t0=0x00000008
0x8000010c:csrrs  t0,mstatus,zero     t0=mstatus=0x00000000,mstatus|=zero=0x00000000|0x00000000=0x00000000
0x80000110:ori    t0,t0,0x008         t0=0x00000000|0x00000008=0x00000008
0x80000114:csrrw  zero,mstatus,t0     zero=mstatus=0x00000000,mstatus=t0=0x00000008
0x80000118:jalr   zero,ra,0x000       pc=0x80000128+0x00000000,zero=0x8000011c
0x80000128:lui    t0,0x02000          t0=0x02000000
0x8000012c:addi   t1,zero,0x001       t1=0x00000000+0x00000001=0x00000001
0x80000130:sw     t1,0x000(t0)        mem[0x02000000]=0x00000001
>interrupt:software                   cause=0x80000003,epc=0x80000134,tval=0x00000000
0x80000010:jal    zero,0x00054        pc=0x800000b8,zero=0x80000014
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x80000128
0x800000c0:sw     a0,0x004(sp)        mem[0x80007fe4]=0x80000148
0x800000c4:sw     t0,0x008(sp)        mem[0x80007fe8]=0x02000000
0x800000c8:csrrs  a0,mcause,zero      a0=mcause=0x80000003,mcause|=zero=0x80000003|0x00000000=0x80000003
0x800000cc:csrrs  t0,mstatus,zero     t0=mstatus=0x00001880,mstatus|=zero=0x00001880|0x00000000=0x00001880
0x800000d0:lui    t0,0x02000          t0=0x02000000
0x800000d4:sw     zero,0x000(t0)      mem[0x02000000]=0x00000000
0x800000d8:csrrs  t0,mip,zero         t0=mip=0x00000080,mip|=zero=0x00000080|0x00000000=0x00000080
0x800000dc:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000128
0x800000e0:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x80000148
0x800000e4:lw     t0,0x008(sp)        t0=mem[0x80007fe8]=0x02000000
0x800000e8:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x800000ec:mret                       pc=0x80000134
0x80000134:lw     ra,0x000(sp)        ra=mem[0x80007ff0]=0x800000b0
0x80000138:addi   sp,sp,0x010         sp=0x80007ff0+0x00000010=0x80008000
0x8000013c:addi   a0,zero,0x000       a0=0x00000000+0x00000000=0x00000000
0x80000140:jalr   zero,ra,0x000       pc=0x800000b0+0x00000000,zero=0x80000144
0x800000b0:jal    zero,0xfffd8        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)        mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020       a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020          a1=0x00020000
0x80000070:addi   a1,a1,0x026         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)        mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp          a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a          pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31        zero=0x00000000<<31=0x00000000
0x80000094:ebreak
