0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x11c         a0=0x80000040+0x0000011c=0x8000015c
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x114         a1=0x80000048+0x00000114=0x8000015c
0x80000050:sw     zero,0x000(a0)      mem[0x8000015c]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x8000015c+0x00000004=0x80000160
0x80000058:blt    a0,a1,0xffc         (0x80000160<0x8000015c)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x0003a          pc=0x80000120,ra=0x800000b0
0x80000120:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000124:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x80000128:lui    a0,0x0200c          a0=0x0200c000
0x8000012c:addi   a0,a0,0xff8         a0=0x0200c000+0xfffffff8=0x0200bff8
0x80000130:lui    a1,0x02004          a1=0x02004000
0x80000134:addi   t0,zero,0x001       t0=0x00000000+0x00000001=0x00000001
0x80000138:sw     zero,0x004(a0)      mem[0x0200bffc]=0x00000000
0x8000013c:sw     zero,0x000(a0)      mem[0x0200bff8]=0x00000000
0x80000140:sw     zero,0x004(a1)      mem[0x02004004]=0x00000000
0x80000144:sw     t0,0x000(a1)        mem[0x02004000]=0x00000001
0x80000148:jal    ra,0xfffd6          pc=0x800000f4,ra=0x8000014c
0x800000f4:auipc  t0,0x00000          t0=0x800000f4+0x00000000=0x800000f4
0x800000f8:addi   t0,t0,0xf10         t0=0x800000f4+0xffffff10=0x80000004
0x800000fc:addi   t0,t0,0x001         t0=0x80000004+0x00000001=0x80000005
0x80000100:csrrw  zero,mtvec,t0       zero=mtvec=0x00000000,mtvec=t0=0x80000005
0x80000104:csrrs  t0,mie,zero         t0=mie=0x00000000,mie|=zero=0x00000000|0x00000000=0x00000000
0x80000108:ori    t0,t0,0x080         t0=0x00000000|0x00000080=0x00000080
0x8000010c:csrrw  zero,mie,t0         zero=mie=0x00000000,mie=t0=0x00000080
0x80000110:csrrs  t0,mstatus,zero     t0=mstatus=0x00000000,mstatus|=zero=0x00000000|0x00000000=0x00000000
0x80000114:ori    t0,t0,0x008         t0=0x00000000|0x00000008=0x00000008
0x80000118:csrrw  zero,mstatus,t0     zero=mstatus=0x00000000,mstatus=t0=0x00000008
>interrupt:timer                      cause=0x80000007,epc=0x8000011c,tval=0x00000000
0x80000020:jal    zero,0x0004c        pc=0x800000b8,zero=0x80000024
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x8000014c
0x800000c0:sw     a0,0x004(sp)        mem[0x80007fe4]=0x0200bff8
0x800000c4:sw     t0,0x008(sp)        mem[0x80007fe8]=0x00000008
0x800000c8:sw     t1,0x00c(sp)        mem[0x80007fec]=0x00000000
0x800000cc:csrrs  a0,mcause,zero      a0=mcause=0x80000007,mcause|=zero=0x80000007|0x00000000=0x80000007
0x800000d0:xori   t0,zero,0xfff       t0=0x00000000^0xffffffff=0xffffffff
0x800000d4:sw     t0,0x004(a1)        mem[0x02004004]=0xffffffff
0x800000d8:sw     t0,0x000(a1)        mem[0x02004000]=0xffffffff
0x800000dc:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x8000014c
0x800000e0:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x0200bff8
0x800000e4:lw     t0,0x008(sp)        t0=mem[0x80007fe8]=0x00000008
0x800000e8:lw     t1,0x00c(sp)        t1=mem[0x80007fec]=0x00000000
0x800000ec:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x800000f0:mret                       pc=0x8000011c
0x8000011c:jalr   zero,ra,0x000       pc=0x8000014c+0x00000000,zero=0x80000120
0x8000014c:lw     ra,0x000(sp)        ra=mem[0x80007ff0]=0x800000b0
0x80000150:addi   sp,sp,0x010         sp=0x80007ff0+0x00000010=0x80008000
0x80000154:addi   a0,zero,0x000       a0=0x00000000+0x00000000=0x00000000
0x80000158:jalr   zero,ra,0x000       pc=0x800000b0+0x00000000,zero=0x8000015c
0x800000b0:jal    zero,0xfffd8        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)        mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020       a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020          a1=0x00020000
0x80000070:addi   a1,a1,0x026         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)        mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp          a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a          pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31        zero=0x00000000<<31=0x00000000
0x80000094:ebreak
